,head,neck,left_ear,right_ear,left_shoulder,left_elbow,left_hand,right_shoulder,right_elbow,right_hand,head,neck,left_ear,right_ear,left_shoulder,left_elbow,left_hand,right_shoulder,right_elbow,right_hand
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523,0.0
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523,0.0
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523,0.0
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524,0.0
137,0.45,0.46,0.421,0.469,0.391,0.333,0.337,0.488,0.5,0.478,0.491,0.569,0.542,0.481,0.593,0.661,0.602,0.543,0.471,0.35
138,0.45,0.461,0.421,0.468,0.392,0.335,0.337,0.488,0.5,0.478,0.491,0.569,0.543,0.48,0.592,0.66,0.602,0.542,0.472,0.35
139,0.45,0.461,0.421,0.468,0.392,0.335,0.337,0.488,0.5,0.478,0.491,0.569,0.543,0.48,0.592,0.66,0.602,0.543,0.472,0.35
140,0.45,0.461,0.422,0.468,0.392,0.335,0.337,0.488,0.5,0.478,0.491,0.569,0.543,0.48,0.592,0.66,0.603,0.542,0.472,0.35
141,0.45,0.461,0.422,0.468,0.393,0.335,0.337,0.488,0.5,0.478,0.491,0.569,0.543,0.48,0.592,0.66,0.603,0.542,0.472,0.35
142,0.45,0.46,0.421,0.468,0.392,0.334,0.337,0.488,0.5,0.478,0.491,0.569,0.542,0.481,0.592,0.66,0.602,0.542,0.471,0.35
143,0.45,0.459,0.42,0.469,0.391,0.334,0.338,0.488,0.5,0.477,0.49,0.569,0.539,0.482,0.593,0.66,0.602,0.542,0.47,0.35
144,0.45,0.458,0.42,0.47,0.39,0.332,0.337,0.488,0.5,0.478,0.49,0.569,0.537,0.484,0.594,0.661,0.602,0.544,0.47,0.35
145,0.45,0.459,0.42,0.469,0.391,0.333,0.337,0.488,0.5,0.478,0.49,0.568,0.538,0.481,0.593,0.661,0.602,0.542,0.469,0.35
146,0.449,0.458,0.419,0.47,0.391,0.334,0.337,0.488,0.5,0.477,0.489,0.569,0.536,0.484,0.593,0.661,0.603,0.543,0.47,0.349
147,0.45,0.458,0.42,0.47,0.391,0.332,0.337,0.488,0.5,0.478,0.49,0.569,0.536,0.483,0.594,0.661,0.602,0.543,0.469,0.349
148,0.45,0.458,0.42,0.471,0.392,0.334,0.337,0.488,0.5,0.478,0.488,0.569,0.535,0.484,0.593,0.661,0.603,0.543,0.47,0.349
149,0.45,0.458,0.42,0.47,0.391,0.333,0.337,0.488,0.5,0.478,0.49,0.569,0.536,0.485,0.593,0.661,0.602,0.543,0.471,0.35
150,0.45,0.458,0.419,0.471,0.391,0.333,0.336,0.488,0.5,0.478,0.491,0.569,0.536,0.485,0.595,0.661,0.602,0.543,0.469,0.349
151,0.45,0.457,0.418,0.471,0.391,0.333,0.337,0.488,0.5,0.477,0.491,0.57,0.535,0.486,0.594,0.661,0.601,0.544,0.469,0.349
152,0.449,0.458,0.419,0.47,0.392,0.335,0.337,0.488,0.5,0.478,0.49,0.57,0.537,0.486,0.593,0.661,0.602,0.545,0.472,0.35
153,0.456,0.463,0.424,0.476,0.39,0.333,0.339,0.489,0.493,0.462,0.492,0.573,0.536,0.488,0.597,0.665,0.602,0.539,0.465,0.348
154,0.455,0.462,0.423,0.476,0.392,0.335,0.338,0.489,0.493,0.462,0.49,0.574,0.536,0.489,0.596,0.665,0.603,0.541,0.467,0.347
155,0.455,0.461,0.423,0.476,0.39,0.334,0.338,0.489,0.492,0.462,0.491,0.574,0.535,0.49,0.596,0.665,0.602,0.542,0.467,0.347
156,0.46,0.462,0.426,0.481,0.389,0.331,0.338,0.49,0.493,0.465,0.491,0.574,0.529,0.493,0.596,0.665,0.599,0.545,0.474,0.36
157,0.46,0.461,0.425,0.481,0.389,0.331,0.338,0.49,0.493,0.465,0.492,0.574,0.528,0.494,0.597,0.664,0.598,0.544,0.473,0.36
158,0.46,0.461,0.425,0.481,0.389,0.332,0.338,0.49,0.493,0.465,0.491,0.574,0.528,0.494,0.596,0.664,0.599,0.545,0.474,0.36
159,0.46,0.461,0.425,0.481,0.389,0.331,0.338,0.49,0.493,0.465,0.491,0.574,0.528,0.494,0.596,0.664,0.598,0.544,0.473,0.36
160,0.457,0.458,0.421,0.48,0.387,0.328,0.334,0.49,0.494,0.466,0.495,0.579,0.528,0.498,0.598,0.666,0.595,0.554,0.482,0.375
